openalex_id,title,community_id,is_a_inter,is_a_inter_top_paths,is_a_inter_institution_paths,bridge_freq_top,bridge_freq_institutions,bridge_freq_total,bridge_fraction_top,bridge_fraction_institutions,pagerank,authority,hub,approx_betweenness_path_subgraph,eigenvector_path_subgraph,harmonic_to_unicamp_sampled,harmonic_to_top_tier_sampled,bridge_proximity,is_unicamp,is_top_tier,is_important_institution
W2144916624,Joint channel assignment and routing for throughput optimization in multi-radio wireless mesh networks,14,True,True,True,3,13,16,8.071459319845028e-05,0.00018201164874551972,1.479988438988988e-05,3.734261595151528e-08,3.027746570419364e-09,0.0,4.2784813081993637e-07,0.15102954770923505,0.20918898809523795,0.4955044612364338,False,False,False
W2144935315,Neighbourhood Components Analysis,1,True,True,False,2,0,2,5.3809728798966854e-05,0.0,4.9603953248001157e-05,0.00011759284010075945,2.1603399720856024e-07,0.0,0.0008382825524940472,0.18167782738095223,0.29114583333333327,0.6411408548627637,False,False,False
W2144936818,Characterization of network-wide anomalies in traffic flows,4,True,True,False,1,0,1,2.6904864399483427e-05,0.0,5.863272491864352e-05,4.099696288112605e-07,2.1379837339148456e-08,4.721613658683992e-06,1.871836214628794e-05,0.17878534226190468,0.26354166666666645,0.6051148314653945,False,False,False
W2145015841,"Image Steganalysis Based on Moments of Characteristic Functions Using Wavelet Decomposition, Prediction-Error Image, and Neural Network",21,True,True,False,1,0,1,2.6904864399483427e-05,0.0,7.6023142779376825e-06,1.3864884263445803e-06,1.6164134422223165e-08,0.0,1.4805412105772963e-05,0.16715677985209226,0.2445312499999998,0.5636070027882322,False,False,False
W2145017920,Knowledge Representation Using High-Level Fuzzy Petri Nets,5,True,False,True,0,1,1,0.0,1.400089605734767e-05,9.798104135871047e-06,1.3793136869720776e-08,8.844151415839929e-08,0.0,1.002483424900507e-07,0.14399801587301575,0.19719122023809504,0.46975265110207154,False,False,False
W2145021036,The SPLASH-2 programs,16,True,True,True,156,173,329,0.004197158846319414,0.002422155017921147,0.00020247039260845183,6.8567794245619725e-06,6.923026051854813e-10,1.3222368406407138e-05,1.3456784258211383e-05,0.17268753382034624,0.23900669642857128,0.5663471595553763,False,False,True
W2145061307,User-defined aggregate functions,3,True,True,True,4,31,35,0.00010761945759793371,0.00043402777777777775,6.162361851594137e-06,0.0,7.916133169392427e-11,0.0,1.02222342755334e-08,0.1332930307539681,0.18755580357142848,0.44077420775429293,False,False,False
W2145063049,An enhanced two-level Boolean synthesis methodology for fuzzy rules minimization,5,True,True,True,12,8,20,0.0003228583727938011,0.00011200716845878136,8.00205577394942e-06,2.0222218223531036e-08,1.7843958097179483e-07,2.360806829341996e-06,5.040275367860966e-06,0.17341298024891763,0.2516927083333331,0.5824026152887066,False,False,False
W2145071552,Basic concepts and taxonomy of dependable and secure computing,2,True,True,True,4,5,9,0.00010761945759793371,7.000448028673835e-05,0.00011703282740523272,2.073006362587542e-06,4.593674411332943e-08,1.278770365893581e-05,8.212357994325882e-06,0.17833271329365064,0.26718749999999986,0.6085142815423087,False,False,True
W2145085734,Pruning algorithms-a survey,5,True,True,False,2,0,2,5.3809728798966854e-05,0.0,4.0847646752928194e-05,0.00010636223960734671,7.772108239621407e-08,3.541210244012994e-06,0.0009916737993001187,0.187127976190476,0.3075520833333334,0.6687686331663696,False,False,False
